Cote;Type;DataType;Dates;Titre;Sous-titre;Auteur;Destinataire;Sujet;Description;Notes;Résumé;Éditeur;Localisation;Droits;Ayants-droit;Format;Langue;État génétique;Relations génétiques;Autres ressources en relation;Nature du document;Support;État général;Publication;Représentation;Contexte géographique;Lieu d'expédition;Type de publication;Titre de la publication;Lieu de publication;Numéro de la publication;Périodicité;Directeur de la publication;Auteur analyse;Date analyse;Auteur description;Date création notice;Auteur révision;Date révision notice;Auteur transcription
 MX-F-729;Photos;Picture;1910-1940;Actuacion;;undetermined;;Character;;The original file is called: parart13.jpg;;;Undetermined;;;185 × 64048,7 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipMeWf-jHFBz-Pg35_uYN3c5yqk-ap3Z4XmJBnLUD-C4DnIJRHYDTHEmQ10-AxzdxA/photo/AF1QipPlX6ZH5D7uof7SR3kVqoa-_skG6gz5178k2rzA?key=dm84OVZVVzFlR1hYWGNPRGlFcV84cXcyTHVqQkRB;;Undetermined;;;;;;;;;;;;;;
 MX-F-730;Photos;Picture;1969-2000;Delcaracion;;undetermined;;News article;;The original file is called:prensa_11_77.jpg;;;Undetermined;;;145 × 80070,4 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipMeWf-jHFBz-Pg35_uYN3c5yqk-ap3Z4XmJBnLUD-C4DnIJRHYDTHEmQ10-AxzdxA/photo/AF1QipMBmGcanpOZ1NZhiu84NjGsMwqHFUkCPLpFQ8zb?key=dm84OVZVVzFlR1hYWGNPRGlFcV84cXcyTHVqQkRB;;Cataluña Spain;;;;;;;;;;;;;;
 MX-F-731;Photos;Picture;1969;Margarita  Xirgu;;undetermined;;News article;;The original file is called:prensa_16_5_69.jpg;;;Undetermined;;;507 × 800144,8 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipMeWf-jHFBz-Pg35_uYN3c5yqk-ap3Z4XmJBnLUD-C4DnIJRHYDTHEmQ10-AxzdxA/photo/AF1QipOiUl-KYA5t0WQVKbZWgG6IAAmp8xOVlagzFh2G?key=dm84OVZVVzFlR1hYWGNPRGlFcV84cXcyTHVqQkRB;;Undetermined;;;;;;;;;;;;;;
 MX-F-732;Photos;Picture;1970;Margarita  Xirgu;;undetermined;;News article;;The original file is called:prensa_1970.jpg;;;Undetermined;;;470 × 800135,8 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipMeWf-jHFBz-Pg35_uYN3c5yqk-ap3Z4XmJBnLUD-C4DnIJRHYDTHEmQ10-AxzdxA/photo/AF1QipPoCxjGuwZx2Doua9h0gXAQ020AP6n0pSlwT9FK?key=dm84OVZVVzFlR1hYWGNPRGlFcV84cXcyTHVqQkRB;;Undetermined;;;;;;;;;;;;;;
 MX-F-733;Photos;Picture;1969;Margarita  Xirgu;;undetermined;;News article;;The original file is called: prensa_22_5_69.jpg;;;Undetermined;;;613 × 800157,7 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipMeWf-jHFBz-Pg35_uYN3c5yqk-ap3Z4XmJBnLUD-C4DnIJRHYDTHEmQ10-AxzdxA/photo/AF1QipOpnSD9uMpgp7Nyjp8k_8QQq-ivp5J83d-NHCdy?key=dm84OVZVVzFlR1hYWGNPRGlFcV84cXcyTHVqQkRB;;Undetermined;;;;;;;;;;;;;;
 MX-F-734;Photos;Picture;1969;Margarita  Xirgu;;undetermined;;News article;;The original file is called: prensa_6_5_69.jpg;;;Undetermined;;;442 × 800136,8 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipMeWf-jHFBz-Pg35_uYN3c5yqk-ap3Z4XmJBnLUD-C4DnIJRHYDTHEmQ10-AxzdxA/photo/AF1QipM86pTKxKQ5hfs2H8oGkVRevNQlxbjJSkzSMROi?key=dm84OVZVVzFlR1hYWGNPRGlFcV84cXcyTHVqQkRB;;Undetermined;;;;;;;;;;;;;;
 MX-F-735;Photos;Picture;1969;Margarita  Xirgu;;undetermined;;News article;;The original file is called: prensa_6_69_a.jpg;;;Undetermined;;;585 × 800126,6 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipMeWf-jHFBz-Pg35_uYN3c5yqk-ap3Z4XmJBnLUD-C4DnIJRHYDTHEmQ10-AxzdxA/photo/AF1QipMBA8Fm8BdBXriAhK-sTxFWfqzdk1AmCWmn9wgd?key=dm84OVZVVzFlR1hYWGNPRGlFcV84cXcyTHVqQkRB;;Undetermined;;;;;;;;;;;;;;
 MX-F-736;Photos;Picture;1969;Margarita  Xirgu;;undetermined;;News article;;The original file is called: prensa_6_69_a2.jpg;;;Undetermined;;;300 × 80091,4 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipMeWf-jHFBz-Pg35_uYN3c5yqk-ap3Z4XmJBnLUD-C4DnIJRHYDTHEmQ10-AxzdxA/photo/AF1QipOptftmBjcTWU9OUDWRgm7UALe3XVghykIiiFCI?key=dm84OVZVVzFlR1hYWGNPRGlFcV84cXcyTHVqQkRB;;Undetermined;;;;;;;;;;;;;;
 MX-F-737;Photos;Picture;1969;Margarita  Xirgu;;undetermined;;News article;;The original file is called: prensa_6_69_b.jpg;;;Undetermined;;;563 × 800144,3 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipMeWf-jHFBz-Pg35_uYN3c5yqk-ap3Z4XmJBnLUD-C4DnIJRHYDTHEmQ10-AxzdxA/photo/AF1QipMrZSsxl-6WTPz0Vsk5J-LatOYXU5P6hLx1yOW6?key=dm84OVZVVzFlR1hYWGNPRGlFcV84cXcyTHVqQkRB;;Undetermined;;;;;;;;;;;;;;
 MX-F-738;Photos;Picture;1935-1936;Margarita  Xirgu;;undetermined;;poster;;The original file is called: principal_palace_35_36.jpg;;;Undetermined;;;800 × 579105,6 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipMeWf-jHFBz-Pg35_uYN3c5yqk-ap3Z4XmJBnLUD-C4DnIJRHYDTHEmQ10-AxzdxA/photo/AF1QipMhN5mXQgzVcy_UWJq6d8Ep7hrk6urq5Q0sZKMm?key=dm84OVZVVzFlR1hYWGNPRGlFcV84cXcyTHVqQkRB;;Undetermined;;;;;;;;;;;;;;
 MX-F-739;Photos;Picture;1935-1936;Margarita  Xirgu;;undetermined;;poster;;The original file is called: principal_palace_35_36_b.jpg;;;Undetermined;;;800 × 53477,7 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipMeWf-jHFBz-Pg35_uYN3c5yqk-ap3Z4XmJBnLUD-C4DnIJRHYDTHEmQ10-AxzdxA/photo/AF1QipPrcvwj5x2u1Lkt7rJ7GqFRkuTSb2E0nBMWJ2nh?key=dm84OVZVVzFlR1hYWGNPRGlFcV84cXcyTHVqQkRB;;Undetermined;;;;;;;;;;;;;;
 MX-F-740;Photos;Picture;1920-1940;Margarita  Xirgu;;undetermined;;poster;;The original file is called: sta__juana_la_dama_boba.jpg;;;Undetermined;;;368 × 80076,1 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipMeWf-jHFBz-Pg35_uYN3c5yqk-ap3Z4XmJBnLUD-C4DnIJRHYDTHEmQ10-AxzdxA/photo/AF1QipOOamLHiqIFNq4BJBLocprh9CBiRercW3XjxReb?key=dm84OVZVVzFlR1hYWGNPRGlFcV84cXcyTHVqQkRB;;Undetermined;;;;;;;;;;;;;;
 MX-F-741;Photos;Picture;1910-1935;Margarita Xirgu;;undetermined;;poster;;The original file is called: teatro_cervantes_granada.jpg;;;Undetermined;;;800 × 49368,2 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipMeWf-jHFBz-Pg35_uYN3c5yqk-ap3Z4XmJBnLUD-C4DnIJRHYDTHEmQ10-AxzdxA/photo/AF1QipOfjPgVos8NShcu3lDznuKn2eJEvNFEfrntnUMb?key=dm84OVZVVzFlR1hYWGNPRGlFcV84cXcyTHVqQkRB;;Granada Spain;;;;;;;;;;;;;;
 MX-F-742;Photos;Picture;1910-1930;Margarita Xirgu;;undetermined;;poster;;The original file is called: drames guimerà.jpg;;;Undetermined;;;4961 × 3286 3,4 Mo;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipNiTWo-UUEvNmbiWCaCq1aMTShC4LrxSMsHubxrvl3eEj6f9mhzrZxYuLUmMx9Lyg/photo/AF1QipM4ITO8YTCGx8FYnAfXPpSTozd3yMYm0TaePm7N?key=dVIwYXFKMkhWdXo2VC1zY3EyZVpEYW85T2JmSnRB;;Cataluña Spain;;;;;;;;;;;;;;
 MX-F-743;Photos;Picture;1910-1930;Margarita Xirgu;;undetermined;;poster;;The original file is called: companyia xirgu.jpg;;;Undetermined;;;4793 × 3281 3,1 Mo;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipNiTWo-UUEvNmbiWCaCq1aMTShC4LrxSMsHubxrvl3eEj6f9mhzrZxYuLUmMx9Lyg/photo/AF1QipMubReqWtobd047gbQLd8309K6veU-jYz831isX?key=dVIwYXFKMkhWdXo2VC1zY3EyZVpEYW85T2JmSnRB;;Cataluña Spain;;;;;;;;;;;;;;
 MX-F-744;Photos;Picture;1910-1940;Margarita Xirgu;;undetermined;;poster;;The original file is called: margarida xirgu.jpg;;;Undetermined;;;2434 × 2968 1,6 Mo;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipNiTWo-UUEvNmbiWCaCq1aMTShC4LrxSMsHubxrvl3eEj6f9mhzrZxYuLUmMx9Lyg/photo/AF1QipOugJl8O94aYqE1ZfjGeJIyOsIjdY7xD3eZvLe_?key=dVIwYXFKMkhWdXo2VC1zY3EyZVpEYW85T2JmSnRB;;Cataluña Spain;;;;;;;;;;;;;;
 MX-F-745;Photos;Picture;1910-1930;Margarita Xirgu;;undetermined;;poster;;The original file is called: la escena catalana 1911 09 30(1).jpg;;;Undetermined;;;1231 × 1634753,3 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipNiTWo-UUEvNmbiWCaCq1aMTShC4LrxSMsHubxrvl3eEj6f9mhzrZxYuLUmMx9Lyg/photo/AF1QipNEpzNu8CU0hWUKC5l5AQGgNojHH510gX5ZhpW1?key=dVIwYXFKMkhWdXo2VC1zY3EyZVpEYW85T2JmSnRB;;Cataluña Spain;;;;;;;;;;;;;;
 MX-F-746;Photos;Picture;1910-1940;Margarita Xirgu;;undetermined;;News article;;The original file is called: la escena catalana 1911 05 13(1)[1].jpg;;;Undetermined;;;1241 × 1754608,8 ko;;;;;Archivo Jpg;Digital;Mediocre;https://photos.google.com/share/AF1QipNiTWo-UUEvNmbiWCaCq1aMTShC4LrxSMsHubxrvl3eEj6f9mhzrZxYuLUmMx9Lyg/photo/AF1QipP8ePeHHCLQHEQi1l3aWlRWG6WvOJrHUbqJpJUd?key=dVIwYXFKMkhWdXo2VC1zY3EyZVpEYW85T2JmSnRB;;Cataluña Spain;;;;;;;;;;;;;;
 MX-F-747;Photos;Picture;1950-1980;Family of Margarita Xirgu;;undetermined;;Photo of her family;;The original file is called: 1.jpg;;;Undetermined;;;640x458 35ko;;;;;Archivo Jpg;Digital;Mediocre;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target0.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-748;Photos;Picture;1940-1970;Family of Margarita Xirgu;;undetermined;;Photo of her family;;The original file is called:  2Jpg;;;Undetermined;;;640x456 45ko;;;;;Archivo Jpg;Digital;Mediocre;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target1.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-749;Photos;Picture;1950-1980;"Josep Benet and Rafael Alberti
";;undetermined;;"Photo of Josep Benet and Rafael Alberti
en";;The original file is called: 09.jpg;;;Undetermined;;;640x453 45ko;;;;;Archivo Jpg;Digital;Mediocre;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target2.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-750;Photos;Picture;1940-1980;Marius Díaz, alcalde de Badalona ,Rafael Alberti y  Estela Castro;;undetermined;;Marius Díaz, alcalde de Badalona ,Rafael Alberti and  Estela Castro;;The original file is called: 090.jpg;;;Undetermined;;;640x469 46 ko;;;;;Archivo Jpg;Digital;Mediocre;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target3.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-751;Photos;Picture;1930-1980;Antonina Rodrigo,biògrafa de l'actriu,Rafael Alberti y Jaume Oliveras, conseller de cultura;;undetermined;;poster;;The original file is called: 08 Jpg;;;Undetermined;;;640x653 36ko;;;;;Archivo Jpg;Digital;Mediocre;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target4.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-752;Photos;Picture;1930-1980;"""Portrait of lady with mirror"" Estela Castro";;undetermined;;"""Portrait of lady with mirror"" Estela Castro";;The original file is called:  080.jpg;;;Undetermined;;;640x469 46 ko;;;;;Archivo Jpg;Digital;Mediocre;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target5.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-753;Photos;Picture;1920-1970;Màrius Díaz, Rafael Alberti, Antonina Rodrigo and Estela Castro;;undetermined;;Màrius Díaz, Rafael Alberti, Antonina Rodrigo and Estela Castro;;The original file is called: 07.Jpg;;;Undetermined;;;640x454 52 ko;;;;;Archivo Jpg;Digital;Mediocre;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target7.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-754;Photos;Picture;1930-1970;Antonina Rodrigo y  Màrius Díaz;;undetermined;;Antonina Rodrigo and  Màrius Díaz;;The original file is called: 06.jpg;;;Undetermined;;;640x451 30ko;;;;;Archivo Jpg;Digital;Mediocre;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target8.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-755;Photos;Picture;1930-1970;Miquel Xirgu, Marius Díaz y Rafael Alberti;;undetermined;;Miquel Xirgu, Marius Díaz and  Rafael Alberti;;The original file is called: 060.jpg;;;Undetermined;;;640x457 30ko;;;;;Archivo Jpg;Digital;Mediocre;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target9.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-756;Photos;Picture;1930-1970;Màrius Díaz, Estela Castro, Antonina Rodrigo i Rafael Alberti;;undetermined;;Màrius Díaz, Estela Castro, Antonina Rodrigo and  Rafael Alberti;;The original file is called: _05.jpg;;;Undetermined;;;640x454 46 ko;;;;;Archivo Jpg;Digital;Mediocre;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target10.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-757;Photos;Picture;1940-1970;Família Xirgu;;undetermined;;Família Xirgu;;The original file is called: _050.jpg;;;Undetermined;;;640x654 41 ko;;;;;Archivo Jpg;Digital;Mediocre;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target11.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-758;Photos;Picture;1950-1980;Calle Xirgu;;undetermined;;Xirgu street;;The original file is called: _040.jpg;;;Undetermined;;;640x460 49 ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target12.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-759;Photos;Picture;1940-1970;Miquel Xirgu Marius Díaz, and  Rafael Alberti;;undetermined;;Miquel Xirgu Marius Díaz, and Rafael Alberti;;The original file is called: 0900.jpg;;;Undetermined;;;640x465 35ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target13.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-760;Photos;Picture;1940-1970;Estela Castro, Marius Díaz and  Rafael Alberti;;undetermined;;Estela Castro, Marius Díaz and  Rafael Alberti;;The original file is called: 03.jpg;;;Undetermined;;;640x451 39ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target14.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-761;Photos;Picture;1940-1970; Miquel Xirgu sobrino y ahijado de Maragarida Xirgu, Josep Palau i Fabre y Estela Castro;;undetermined;; Miquel Xirgu, nephew and godson of Maragarida Xirgu, Josep Palau and Fabre and Estela Castro;;The original file is called: 02.jpg;;;Undetermined;;;640x454 46 ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target15.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-762;Photos;Picture;1940-1970;Família Xirgu;;undetermined;;Família Xirgu;;The original file is called: 020.jpg;;;Undetermined;;;640x460 43ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/expos/programes/badalona/alberti/target16.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-763;Photos;Picture;Undetermined;Margarita Xirgu;;undetermined;;Margarita Xirgu;;The original file is called:subirats.pdf;;;Undetermined;;;pdf;;;;;Archivo en pdf;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/subirats/subirats.pdf;;Undetermined;;;;;;;;;;;;;;
 MX-F-764;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:1.jpg;;;Undetermined;;;601x640 45ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target0.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-765;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:2.jpg;;;Undetermined;;;411x640 39;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target1.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-766;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:3.jpg;;;Undetermined;;;410x640  45 ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target2.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-767;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:4.jpg;;;Undetermined;;;404x640 38ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target3.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-768;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:5.jpg;;;Undetermined;;;428x640 37ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target4.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-769;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:6.jpg;;;Undetermined;;;394x640 41ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target5.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-770;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:7.jpg;;;Undetermined;;;414x640 43ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target6.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-771;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:8.jpg;;;Undetermined;;;411x40 39ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target7.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-772;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:9.jpg;;;Undetermined;;;411x40 39ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target8.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-773;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:10.jpg;;;Undetermined;;;416x640 35ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target9.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-774;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:11.jpg;;;Undetermined;;;440x640 59ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target10.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-775;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:12.jpg;;;Undetermined;;;413x640 59ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target11.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-776;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:13.jpg;;;Undetermined;;;434x640 58ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target12.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-777;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:14.jpg;;;Undetermined;;;409x640 55ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target13.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-778;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:15.jpg;;;Undetermined;;;410x640 55ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target14.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-779;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:16.jpg;;;Undetermined;;;433x640 58ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target15.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-780;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:17.jpg;;;Undetermined;;;403x640 41ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/Gori%20Munoz/target16.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-781;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:novio_boda.jpg;;;Undetermined;;;453X640 41ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target0.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-782;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:novio_bosque.jpg;;;Undetermined;;;457x640 40ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target1.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-783;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:padre_novia.jpg;;;Undetermined;;;453X640 41ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target2.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-784;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:padre.jpg;;;Undetermined;;;447X640 47ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target3.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-785;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:vecina_negra1.jpg;;;Undetermined;;;441x640 28ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target4.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-786;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:vecina_negra3.jpg;;;Undetermined;;;453x640 26ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target5.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-787;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:novia_casa.jpg;;;Undetermined;;;453x640 28ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target6.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-788;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:muchahcha_final.jpg;;;Undetermined;;;454x640 32ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target7.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-789;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:mujer_leonardo_casa.jpg;;;Undetermined;;;453x640 32ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target8.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-790;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:mujer_leonardo_final.jpg;;;Undetermined;;;453x640 40ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target9.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-791;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:mujer_leonardo.jpg;;;Undetermined;;;447x640 39ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target10.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-792;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:12.jpg;;;Undetermined;;;453x640 27ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target11.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-793;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:13.jpg;;;Undetermined;;;453x640 27ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target12.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-794;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:novia_anterior_boda.jpg;;;Undetermined;;;445x640 35ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target13.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-795;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:novia_boda.jpg;;;Undetermined;;;448x640 38ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target14.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-796;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:novia_bosque.jpg;;;Undetermined;;;450x640 51ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target15.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-797;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:muchacha_final_2.jpg;;;Undetermined;;;453x640 34ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target16.html;;Undetermined;;;;;;;;;;;;;;
 MX-F-798;Photos;Picture;1910-1950;Figurine;;undetermined;;Figurine;;The original file is called:genio_bosque.jpg;;;Undetermined;;;641x640 36ko;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/figurins/bosangre/fibosang/fibosan/target17.html;;Undetermined;;;;;;;;;;;;;;
